排名,标题,年份,上映时间,类型,时长,评分,语言,导演,作者,链接
1,肖申克的救赎,1994,1994-09-23 (US),"剧情, 犯罪",2h 22m,87%,英语,弗兰克·德拉邦特,斯蒂芬·金,https://www.themoviedb.org/movie/278-the-shawshank-redemption
2,教父,1972,1972-03-24 (US),"剧情, 犯罪",2h 55m,87%,英语,弗朗西斯·科波拉,马里奥·普佐,https://www.themoviedb.org/movie/238-the-godfather
3,教父2,1974,1974-12-20 (US),"剧情, 犯罪",3h 20m,86%,英语,弗朗西斯·科波拉,马里奥·普佐,https://www.themoviedb.org/movie/240-the-godfather-part-ii
4,辛德勒的名单,1993,2019-04-06 (CN),"剧情, 历史, 战争",3h 15m,86%,英语,史蒂文·斯皮尔伯格,托马斯·肯尼利,https://www.themoviedb.org/movie/424-schindler-s-list
5,十二怒汉,1957,1957-04-10 (US),剧情,1h 36m,86%,英语,雷金纳德·罗斯,西德尼·吕美特,https://www.themoviedb.org/movie/389-12-angry-men
6,千与千寻,2001,2019-06-21 (CN),"动画, 家庭, 奇幻",2h 5m,85%,日语,宫崎骏,柊瑠美,https://www.themoviedb.org/movie/129
7,蝙蝠侠：黑暗骑士,2008,2018-04-07 (CN),"动作, 犯罪, 惊悚",2h 32m,85%,英语,克里斯托弗·诺兰,鲍勃·凯恩,https://www.themoviedb.org/movie/155-the-dark-knight
8,Selena Gomez: My Mind & Me,2022,2022-11-02 (US),"纪录, 音乐",1h 35m,85%,英语,阿莱克·凯西西恩,,https://www.themoviedb.org/movie/1022256-selena-gomez-my-mind-me
9,勇夺芳心,1995,1995-10-20 (IN),"喜剧, 剧情, 爱情",3h 10m,85%,印地语,Aditya Chopra,卡卓儿,https://www.themoviedb.org/movie/19404
10,绿里奇迹,1999,1999-12-10 (US),"奇幻, 剧情, 犯罪",3h 9m,85%,英语,弗兰克·德拉邦特,斯蒂芬·金,https://www.themoviedb.org/movie/497-the-green-mile
11,指环王3：王者无敌,2003,2004-03-15 (CN),"冒险, 奇幻, 动作",4h 23m,85%,英语,彼得·杰克逊,J.R.R.托尔金,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king
12,寄生虫,2019,2019-07-28 (CN),"喜剧, 惊悚, 剧情",2h 12m,85%,朝鲜语,奉俊昊,韩进元,https://www.themoviedb.org/movie/496243
13,要不要做我儿子？,2023,2023-09-21 (US),"喜剧, 爱情",2h 20m,85%,英语,Ihtzi Hurtado,,https://www.themoviedb.org/movie/1181678-quieres-ser-mi-hijo
14,低俗小说,1994,2024-04-18 (CN),"惊悚, 犯罪, 喜剧",2h 34m,85%,英语,昆汀·塔伦蒂诺,,https://www.themoviedb.org/movie/680-pulp-fiction
15,你的名字。,2016,2016-12-02 (CN),"动画, 爱情, 剧情",1h 46m,85%,日语,新海诚,神木隆之介,https://www.themoviedb.org/movie/372058
16,星际穿越,2014,2014-11-12 (CN),"冒险, 剧情, 科幻",2h 49m,85%,英语,克里斯托弗·诺兰,,https://www.themoviedb.org/movie/157336-interstellar
17,黄金三镖客,1966,2018-04-16 (CN),西部,2h 41m,85%,意大利语,赛尔乔·莱昂内,卢西亚诺·文森佐尼,https://www.themoviedb.org/movie/429-il-buono-il-brutto-il-cattivo
18,阿甘正传,1994,2020-08-25 (CN),"喜剧, 剧情, 爱情",2h 22m,85%,英语,罗伯特·泽米吉斯,温斯顿·格鲁姆,https://www.themoviedb.org/movie/13-forrest-gump
19,人类,2015,2015-09-12 (FR),纪录,3h 11m,85%,法语,Yann Arthus-Bertrand,,https://www.themoviedb.org/movie/359364-human
20,好家伙,1990,1990-09-19 (US),"剧情, 犯罪",2h 25m,85%,英语,马丁·斯科塞斯,尼古拉斯·皮莱吉,https://www.themoviedb.org/movie/769-goodfellas
21,七武士,1954,1954-04-26 (JP),"动作, 剧情",3h 27m,85%,日语,黑泽明,桥本忍,https://www.themoviedb.org/movie/346
22,大卫·爱登堡：地球上的一段生命旅程,2020,2020-09-28 (GB),"纪录, 剧情",1h 23m,84%,英语,Keith Scholey,,https://www.themoviedb.org/movie/664280-david-attenborough-a-life-on-our-planet
23,萤火虫之墓,1988,1988-04-16 (JP),"动画, 剧情, 战争",1h 29m,84%,日语,高畑勋,辰巳努,https://www.themoviedb.org/movie/12477
24,美丽人生,1997,1997-12-20 (IT),"喜剧, 剧情",1h 56m,84%,意大利语,罗伯托·贝尼尼,文森佐·塞拉米,https://www.themoviedb.org/movie/637-la-vita-e-bella
25,切腹,1962,1962-09-15 (JP),"动作, 剧情, 历史",2h 15m,84%,日语,小林正树,安彦滉,https://www.themoviedb.org/movie/14537
26,搏击俱乐部,1999,1999-10-15 (US),"剧情, 惊悚",2h 19m,84%,英语,大卫·芬奇,恰克·帕拉尼克,https://www.themoviedb.org/movie/550-fight-club
27,指环王1：护戒使者,2001,2002-04-04 (CN),"冒险, 奇幻, 动作",3h 48m,84%,英语,彼得·杰克逊,J.R.R.托尔金,https://www.themoviedb.org/movie/120-the-lord-of-the-rings-the-fellowship-of-the-ring
28,上帝之城,2002,2015-04-18 (CN),"剧情, 犯罪",2h 9m,84%,葡萄牙语,费尔南多·梅里尔斯,保罗·林斯,https://www.themoviedb.org/movie/598-cidade-de-deus
29,天堂电影院,1988,2019-06-15 (CN),"剧情, 爱情",2h 4m,84%,意大利语,朱塞佩·托纳多雷,瓦娜·波利,https://www.themoviedb.org/movie/11216-nuovo-cinema-paradiso
30,蛊惑兄弟,2000,2000-09-15 (BR),"喜剧, 剧情, 奇幻, 爱情",1h 44m,84%,葡萄牙语,Guel Arraes,,https://www.themoviedb.org/movie/40096-o-auto-da-compadecida
31,妙不可言,2021,2021-06-17 (MX),"家庭, 剧情",1h 28m,84%,西班牙语,Ernesto Contreras,Estéfani Enríquez Soto,https://www.themoviedb.org/movie/667257-cosas-imposibles
32,惊魂记,1960,1960-06-22 (US),"恐怖, 惊悚, 悬疑",1h 49m,84%,英语,阿尔弗雷德·希区柯克,罗伯特·布洛克,https://www.themoviedb.org/movie/539-psycho
33,指环王2：双塔奇兵,2002,2003-04-25 (CN),"冒险, 奇幻, 动作",3h 55m,84%,英语,彼得·杰克逊,J.R.R.托尔金,https://www.themoviedb.org/movie/121-the-lord-of-the-rings-the-two-towers
34,飞越疯人院,1975,2026-04-16 (CN),剧情,2h 13m,84%,英语,米洛斯·福尔曼,肯·克西,https://www.themoviedb.org/movie/510-one-flew-over-the-cuckoo-s-nest
35,蜘蛛侠：平行宇宙,2018,2018-12-21 (CN),"动画, 动作, 冒险, 科幻",1h 56m,84%,英语,罗德尼·罗斯曼,菲尔·洛德,https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse
36,素媛,2013,2013-10-02 (KR),剧情,2h 2m,84%,朝鲜语,李濬益,,https://www.themoviedb.org/movie/255709
37,星球大战5：帝国反击战,1980,1980-05-21 (US),"冒险, 动作, 科幻",2h 4m,84%,英语,厄文·克什纳,劳伦斯·卡斯丹,https://www.themoviedb.org/movie/1891-the-empire-strikes-back
38,声之形,2016,2017-09-08 (CN),"动画, 剧情, 爱情",2h 10m,84%,日语,山田尚子,吉田玲子,https://www.themoviedb.org/movie/378064
39,哈尔的移动城堡,2004,2024-04-30 (CN),"奇幻, 动画, 冒险",1h 59m,84%,日语,宫崎骏,戴安娜·温尼·琼斯,https://www.themoviedb.org/movie/4935
40,加百列的地狱,2020,2020-05-29 (US),"爱情, 剧情",2h 2m,84%,英语,Tosca Musk,Sylvain Reynard,https://www.themoviedb.org/movie/696374-gabriel-s-inferno
41,鱿鱼游戏： 第二季 制作特辑,2025,2025-01-03 (KR),纪录,28m,84%,朝鲜语,,,https://www.themoviedb.org/movie/1412113-2
42,美国往事,1984,2015-04-23 (CN),"剧情, 犯罪",3h 49m,84%,英语,赛尔乔·莱昂内,哈里·格雷,https://www.themoviedb.org/movie/311-once-upon-a-time-in-america
43,七宗罪,1995,1995-09-22 (CN),"犯罪, 悬疑, 惊悚",2h 7m,84%,英语,大卫·芬奇,,https://www.themoviedb.org/movie/807-se7en
44,爆裂鼓手,2014,2024-12-06 (CN),"剧情, 音乐, 惊悚",1h 47m,84%,英语,达米恩·查泽雷,,https://www.themoviedb.org/movie/244786-whiplash
45,钢琴家,2002,2003-01-24 (GB),"剧情, 战争",2h 30m,84%,英语,罗曼·波兰斯基,罗纳德·哈伍德,https://www.themoviedb.org/movie/423-the-pianist
46,防弹少年团：燃烧舞台电影版,2018,2018-11-15 (KR),"音乐, 纪录",1h 25m,84%,朝鲜语,Park Jun-soo,,https://www.themoviedb.org/movie/553512
47,盗梦空间,2010,2010-09-01 (CN),"动作, 科幻, 冒险",2h 28m,84%,英语,克里斯托弗·诺兰,,https://www.themoviedb.org/movie/27205-inception
48,露西·希姆斯和和平王子,2020,2020-10-19 (US),"剧情, 家庭",1h 27m,84%,英语,Rob Diamond,,https://www.themoviedb.org/movie/770156-lucy-shimmers-and-the-prince-of-peace
49,加百列的地狱：第二部,2020,2020-07-31 (US),"爱情, 剧情",1h 46m,84%,英语,Tosca Musk,Sylvain Reynard,https://www.themoviedb.org/movie/724089-gabriel-s-inferno-part-ii
50,天国与地狱,1963,1963-03-01 (JP),"剧情, 犯罪, 惊悚",2h 22m,84%,日语,黑泽明,埃文·亨特,https://www.themoviedb.org/movie/12493
51,加百列的地狱：第三部,2020,2020-11-19 (US),"爱情, 剧情",2h 2m,84%,英语,Tosca Musk,Sylvain Reynard,https://www.themoviedb.org/movie/761053-gabriel-s-inferno-part-iii
