排名,标题,年份,上映时间,类型,时长,评分,语言,导演,作者,链接
1,The Shawshank Redemption,1994,09/01/2003 (SG),"Drama, Crime",142,87%,,Frank Darabont,Stephen King,https://www.themoviedb.org/movie/278-the-shawshank-redemption
2,The Godfather,1972,02/25/2022 (SG),"Drama, Crime",175,87%,,Francis Ford Coppola,Mario Puzo,https://www.themoviedb.org/movie/238-the-godfather
3,The Godfather Part II,1974,12/20/1974 (US),"Drama, Crime",202,86%,,Francis Ford Coppola,Mario Puzo,https://www.themoviedb.org/movie/240-the-godfather-part-ii
4,Schindler's List,1993,01/24/2019 (SG),"Drama, History, War",195,86%,,Steven Spielberg,Thomas Keneally,https://www.themoviedb.org/movie/424-schindler-s-list
5,12 Angry Men,,,,,,,,,https://www.themoviedb.org/movie/389-12-angry-men
6,Spirited Away,,,,,,,,,https://www.themoviedb.org/movie/129
7,The Dark Knight,,,,,,,,,https://www.themoviedb.org/movie/155-the-dark-knight
8,Selena Gomez: My Mind & Me,,,,,,,,,https://www.themoviedb.org/movie/1022256-selena-gomez-my-mind-me
9,Dilwale Dulhania Le Jayenge,,,,,,,,,https://www.themoviedb.org/movie/19404
10,The Green Mile,,,,,,,,,https://www.themoviedb.org/movie/497-the-green-mile
11,The Lord of the Rings: The Return of the King,,,,,,,,,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king
12,Parasite,2019,06/27/2019 (SG),"Comedy, Thriller, Drama",133,85%,,Bong Joon Ho,Han Jin-won,https://www.themoviedb.org/movie/496243
13,¿Quieres ser mi hijo?,,,,,,,,,https://www.themoviedb.org/movie/1181678-quieres-ser-mi-hijo
14,Pulp Fiction,,,,,,,,,https://www.themoviedb.org/movie/680-pulp-fiction
15,Your Name.,,,,,,,,,https://www.themoviedb.org/movie/372058
16,Interstellar,,,,,,,,,https://www.themoviedb.org/movie/157336-interstellar
17,"The Good, the Bad and the Ugly",,,,,,,,,https://www.themoviedb.org/movie/429-il-buono-il-brutto-il-cattivo
18,Forrest Gump,,,,,,,,,https://www.themoviedb.org/movie/13-forrest-gump
19,Human,,,,,,,,,https://www.themoviedb.org/movie/359364-human
20,GoodFellas,,,,,,,,,https://www.themoviedb.org/movie/769-goodfellas
21,Seven Samurai,,,,,,,,,https://www.themoviedb.org/movie/346
22,David Attenborough: A Life on Our Planet,,,,,,,,,https://www.themoviedb.org/movie/664280-david-attenborough-a-life-on-our-planet
23,Grave of the Fireflies,,,,,,,,,https://www.themoviedb.org/movie/12477
24,Life Is Beautiful,,,,,,,,,https://www.themoviedb.org/movie/637-la-vita-e-bella
25,Harakiri,,,,,,,,,https://www.themoviedb.org/movie/14537
26,Fight Club,,,,,,,,,https://www.themoviedb.org/movie/550-fight-club
27,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,https://www.themoviedb.org/movie/120-the-lord-of-the-rings-the-fellowship-of-the-ring
28,City of God,,,,,,,,,https://www.themoviedb.org/movie/598-cidade-de-deus
29,Cinema Paradiso,,,,,,,,,https://www.themoviedb.org/movie/11216-nuovo-cinema-paradiso
30,A Dog's Will,,,,,,,,,https://www.themoviedb.org/movie/40096-o-auto-da-compadecida
31,Impossible Things,,,,,,,,,https://www.themoviedb.org/movie/667257-cosas-imposibles
32,Psycho,,,,,,,,,https://www.themoviedb.org/movie/539-psycho
33,The Lord of the Rings: The Two Towers,,,,,,,,,https://www.themoviedb.org/movie/121-the-lord-of-the-rings-the-two-towers
34,One Flew Over the Cuckoo's Nest,,,,,,,,,https://www.themoviedb.org/movie/510-one-flew-over-the-cuckoo-s-nest
35,Spider-Man: Into the Spider-Verse,,,,,,,,,https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse
36,Hope,,,,,,,,,https://www.themoviedb.org/movie/255709
37,The Empire Strikes Back,,,,,,,,,https://www.themoviedb.org/movie/1891-the-empire-strikes-back
38,A Silent Voice,,,,,,,,,https://www.themoviedb.org/movie/378064
39,Howl's Moving Castle,,,,,,,,,https://www.themoviedb.org/movie/4935
40,Gabriel's Inferno,,,,,,,,,https://www.themoviedb.org/movie/696374-gabriel-s-inferno
41,Squid Game: Making Season 2,,,,,,,,,https://www.themoviedb.org/movie/1412113-2
42,Once Upon a Time in America,,,,,,,,,https://www.themoviedb.org/movie/311-once-upon-a-time-in-america
43,Se7en,1995,02/15/1996 (SG),"Crime, Mystery, Thriller",127,84%,,David Fincher,,https://www.themoviedb.org/movie/807-se7en
44,Whiplash,2014,10/10/2014 (US),"Drama, Music, Thriller",107,84%,,Damien Chazelle,,https://www.themoviedb.org/movie/244786-whiplash
45,The Pianist,2002,01/24/2003 (GB),"Drama, War",150,84%,,Roman Polanski,Ronald Harwood,https://www.themoviedb.org/movie/423-the-pianist
46,Burn the Stage: The Movie,2018,11/15/2018 (KR),"Music, Documentary",85,84%,,Park Jun-soo,,https://www.themoviedb.org/movie/553512
47,Inception,2010,07/15/2010 (SG),"Action, Science Fiction, Adventure",148,84%,,Christopher Nolan,,https://www.themoviedb.org/movie/27205-inception
48,Lucy Shimmers and the Prince of Peace,2020,10/19/2020 (US),"Drama, Family",87,84%,,Rob Diamond,,https://www.themoviedb.org/movie/770156-lucy-shimmers-and-the-prince-of-peace
49,Gabriel's Inferno: Part II,2020,07/31/2020 (US),"Romance, Drama",106,84%,,Tosca Musk,Sylvain Reynard,https://www.themoviedb.org/movie/724089-gabriel-s-inferno-part-ii
50,High and Low,1963,03/01/1963 (JP),"Drama, Crime, Thriller",142,84%,,Akira Kurosawa,Evan Hunter,https://www.themoviedb.org/movie/12493
51,Gabriel's Inferno: Part III,2020,11/19/2020 (US),"Romance, Drama",102,84%,,Tosca Musk,Sylvain Reynard,https://www.themoviedb.org/movie/761053-gabriel-s-inferno-part-iii
52,The Silence of the Lambs,1991,08/08/2021 (SG),"Crime, Thriller, Drama",119,83%,,Jonathan Demme,Thomas Harris,https://www.themoviedb.org/movie/274-the-silence-of-the-lambs
53,Rear Window,1954,10/07/2008 (SG),"Thriller, Mystery, Drama",112,83%,,Alfred Hitchcock,John Michael Hayes,https://www.themoviedb.org/movie/567-rear-window
54,Bring the Soul: The Movie,2019,08/07/2019 (SG),"Music, Documentary",105,83%,,Park Jun-soo,,https://www.themoviedb.org/movie/611291
55,Spider-Man: Across the Spider-Verse,,,,,,,,,https://www.themoviedb.org/movie/569094-spider-man-across-the-spider-verse
56,Chainsaw Man - The Movie: Reze Arc,,,,,,,,,https://www.themoviedb.org/movie/1218925
57,American History X,,,,,,,,,https://www.themoviedb.org/movie/73-american-history-x
58,Back to the Future,,,,,,,,,https://www.themoviedb.org/movie/105-back-to-the-future
59,Princess Mononoke,1997,09/11/2025 (SG),"Adventure, Fantasy, Animation",134,83%,,Hayao Miyazaki,Yoji Matsuda,https://www.themoviedb.org/movie/128
60,Radical,2023,10/19/2023 (MX),Drama,125,83%,,Christopher Zalla,Eugenio Derbez,https://www.themoviedb.org/movie/1058694-radical
